bits,trials,factor_success_rate,decrypt_success_rate,median_bases_tried,median_qpe_shots,gcd_shortcut_fraction,wide_total_qubits_excl_arith_ancilla,recycled_total_qubits_excl_arith_ancilla,modeled_total_width_reduction,median_elapsed_seconds
16,100,0.97,0.97,1.0,3.0,0.0,48,17,2.823529411764706,0.0006329504994937452
20,100,1.0,1.0,1.0,2.0,0.0,60,21,2.857142857142857,0.015530164499978127
