bits,trials,factor_success_rate,decrypt_success_rate,median_bases_tried,median_qpe_shots,gcd_shortcut_fraction,wide_total_qubits_excl_arith_ancilla,recycled_total_qubits_excl_arith_ancilla,modeled_total_width_reduction,median_elapsed_seconds
16,200,0.26,0.26,1.0,1.0,0.0,48,17,2.823529411764706,0.0004421584999363404
20,200,0.275,0.275,1.0,1.0,0.0,60,21,2.857142857142857,0.009681951500169816
