comparison_class,architecture,backend,shots,phase_bits,logical_qubits,depth,cz,factor_success_probability,hellinger_fidelity_to_ideal,total_variation_distance_to_ideal,zero_phase_probability,uniform_factor_success_baseline,uniform_hellinger_fidelity,uniform_total_variation_distance
matched,recycled,ibm_fez,512,6,5,1209,388,0.419921875,0.5561979183658402,0.6000664493461291,0.029296875,0.421875,0.5471973626767203,0.6074625363859794
matched,wide,ibm_fez,512,6,10,1347,457,0.416015625,0.5608996364974006,0.6048798596861044,0.025390625,0.421875,0.5471973626767203,0.6074625363859794
ideal_reference,ideal,analytic,0,6,0,0,0,0.8191352729454999,1.0,0.0,0.083984375,0.421875,0.5471973626767203,0.6074625363859794
uniform_reference,uniform,analytic,0,6,0,0,0,0.421875,0.5471973626767203,0.6074625363859794,0.015625,0.421875,0.5471973626767203,0.6074625363859794
