architecture,backend,shots,logical_qubits,depth,size,cz,sx,rz,reset,measure_2,measure,factor_success_probability,ideal_peak_probability,zero_peak_probability,off_peak_probability,factor_recovering_shots,job_quantum_seconds
recycled,ibm_fez,256,5,181,264,55,105,84,4,4,0,0.62109375,0.98046875,0.359375,0.01953125,159,2
wide,ibm_fez,256,8,221,354,87,154,104,0,0,4,0.6875,0.87890625,0.19140625,0.12109375,176,2
